,name,link,min_salary,max_salary,currency,source_site
141,Data Scientist NLP,https://hh.ru/vacancy/47844515?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
142,Data Scientist (remote),https://hh.ru/vacancy/49764583?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
143,Senior Data Scientist / Старший Аналитик (Эконометрическое моделирование),https://hh.ru/vacancy/49506559?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
144,Data Scientist,https://hh.ru/vacancy/45570540?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
145,Senior Data Scientist (NLP),https://hh.ru/vacancy/43658985?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
146,Data scientist (залоговые процессы),https://hh.ru/vacancy/51341213?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
147,Data Scientist,https://hh.ru/vacancy/51508621?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
148,Game Software Engineer (Rapid Prototyping Team),https://hh.ru/vacancy/49553151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
149,Game Software Engineer (Rapid Prototyping Team),https://hh.ru/vacancy/48184204?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
150,Data Scientist,https://hh.ru/vacancy/50638799?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
151,Data Scientist/Математик,https://hh.ru/vacancy/51340761?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,119000.0,,руб.,https://hh.ru
152,Chief Data Scientist Цифровой кредитный мониторинг,https://hh.ru/vacancy/51686727?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
153,Python developer (R&D),https://hh.ru/vacancy/50715271?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
154,Python Team Lead,https://hh.ru/vacancy/49162369?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
155,Digital Marketing & Data Science Professional,https://hh.ru/vacancy/51898090?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
156,DWH Developer,https://hh.ru/vacancy/51655295?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,150000.0,,руб.,https://hh.ru
157,Data scientist (Juniour-Middle),https://hh.ru/vacancy/51439144?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
158,Data Scientist (Planning),https://hh.ru/vacancy/51286600?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
159,Аналитик BI,https://hh.ru/vacancy/49774861?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
160,Middle Data Analyst / Data Scientist,https://hh.ru/vacancy/51540798?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
161,"Data scientist (проект ""Моменты"")",https://hh.ru/vacancy/47095350?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
162,Junior Data Scientist,https://hh.ru/vacancy/50993029?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,50000.0,100000.0,руб.,https://hh.ru
